Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
237680,OIE,23.741042,120.232727,Asia,Taiwan (Province of China),Taiwan Sheng," Taixi Township  ",Exact,22/06/2018,26/06/2018,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, duck",4395,195,195,4200,,,0,,
237675,OIE,52.97454,43.404157,Europe,Russian Federation,Penzenskaya Oblast,Belinsky,Exact,21/06/2018,27/06/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",41,5,5,,,,,,
237674,OIE,52.775914,44.510495,Europe,Russian Federation,Penzenskaya Oblast,Berezovka,Exact,21/06/2018,27/06/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",40,8,8,,,,,,
237673,OIE,52.305538,45.387425,Europe,Russian Federation,Saratovskaya Oblast,Petrovsk,Exact,20/06/2018,27/06/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",4,1,1,3,,,,,
237672,OIE,52.434961,45.73404,Europe,Russian Federation,Saratovskaya Oblast,Tatarskaya Pokaevka,Exact,20/06/2018,27/06/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",71,2,2,0,,,,,
237671,OIE,52.404792,37.561832,Europe,Russian Federation,Orlovskaya Oblast,Livny,Exact,20/06/2018,27/06/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",1321,2,0,1321,,,,,
237670,OIE,53.395325,51.325657,Europe,Russian Federation,Samarskaya Oblast,Otradnyy,Exact,19/06/2018,27/06/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",21,5,5,16,,,,,
237669,OIE,53.219171,51.800147,Europe,Russian Federation,Samarskaya Oblast,Podgornoe,Exact,19/06/2018,27/06/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",82,4,4,78,,,,,
237668,OIE,51.3129,44.22477,Europe,Russian Federation,Saratovskaya Oblast,Talovka,Exact,18/06/2018,27/06/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",116,40,40,,,,,,
237667,OIE,52.091107,50.857947,Europe,Russian Federation,Samarskaya Oblast,Bolshaya Chernigovka,Exact,16/06/2018,27/06/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",322,41,37,,,,,,
237666,OIE,52.716555,50.208952,Europe,Russian Federation,Samarskaya Oblast,Kochetkovskiy,Exact,14/06/2018,27/06/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",21,5,3,18,,,,,
237665,OIE,52.182178,50.922458,Europe,Russian Federation,Samarskaya Oblast,Irgizsky,Exact,08/06/2018,27/06/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",1238,17,17,111,,,,,
237664,EC,55.1181,11.9846,Europe,Denmark,Storstroem,Faksinge ,Unknown,25/06/2018,28/06/2018,Confirmed,Influenza - Avian,H5 LPAI,"captive, mallard",2879,,0,2679,,,0,,
